?????,????? (Question),????? (Context),???????????? (Ground_truth),Answer (Rules-Base),Answer (llm),Answer (Hybrid),Category
1,?????????????????????? ??. ????????????????????????????????????????????,,"?????? 1 Portfolio, ?????? 2 ??????????????????????????, ????????? 3 Admission",,,,
2,?????????????????????? Portfolio ??????????,,"???????????????????, ??????????????????????????????????????????????????????????????????, ??????????????????????????????????",,,,
3,????????????????????????????? ????????????????????????????,,???????? NETSAT,,,,
4,??????????????????????????? ????????????????? TGAT ??? A-Level ?????,,"TGAT2 20, TGAT3 5, ?????????? 35, ??????? 15, ?????? 25 ??? 100%",,,,
,????????????????????????????????????????????????????????,,"??????? 15,000 ???, ???????????? 30,000 ?????????????????",,,,
,?????????????????????????.??????? ????????? ???????????,,"Speech Synthesis, Natural Language Processing, Deep Learning",,,,
,???????????????????????????? ?????????,,pongsathon@kku.ac.th,,,,
,?????????????????????????? ???????????,,"????????? 4 ??? ?????? ??????????????????????????????????????????????
??????????????????????????????????????? ,????????????????????????????????????????????
????????????????????? , ?????????????????????????????????????????, 
?????????????????????????????????????? 
??? ASEAN and GMS, ??????????????????????????????????????????",,,,
,"?????????????????????????????????????????????????????????????????????
???????????????????????????????????????",,"1.??????????????????????????????????????????? ????????????????????????????????????????
2.????????????????????????????????????/??????????????????????????????? ?????????????????????????????????????????????????
3.???????????????????????????????????????? ?????????????????????????????????????????????????????????????",,,,
,??????????????????????????? ????????? ,,"????????????????????????
CP353109
???????????????????????
SC313107
???????????????????????????????????
SC312004
??????????????????????????
CP001001
?? ?? ?? ?? ????????????????",,,,
,????????????????????????????????????????? ,,126 ????????,,,,
,?????????????????????????????????????????????????????????????????,,"????????????????? (Data Scientist)
?????????????????? (Data Analyst)
???????????? (Data Engineer)
??????????????????? (Artificial Intelligence Engineer)
??????????????????????????? (Machine Learning Engineer)
???????????????????????? (Deep Learning Engineer)
???????????????????????? (Computer Vision Engineer)
????????????????????????????????????????????????????
???????????????????????????????????????????????????????????????? 
",,,,
,??????????????????????? ,,"Web Hosting, Virtual Machine, Apple Store, Google Play , grammarly ,ChatGPT Plus , Server ????????????????????????? , KKU Snapdrop ",,,,
,????????????????????????????????,,https://eproject.computing.kku.ac.th/,,,,
,????????????????????????,,"??????????????????????
- ??.?. ??????????????????????????????????????? ???????????????? (???????? : 2568) 
- ?????????????????? : Ph.D. (Geo-Informatics) 

???????????? 
- ??????????????????????????????????????? ???????????????? (?? : 2563) ",,,,
